location,year,month,disaster_type,prob_ACCIDENT,prob_COLLAPSE,prob_COMERCIAL FIRE,prob_DISASTER_TYPE,prob_DROWN,prob_DROWNING,prob_EPIDEMIC,prob_EXPLOSION,prob_FIRE,prob_FLOOD,prob_INDUSTRIAL FIRE,prob_LANDSLIDE,prob_LIGHTNING,prob_MAN MADE (BUILDING COLLAPSE),prob_MAN MADE(BUILDING COLLAPSE),prob_MAN_MADE,prob_PEST_INFESTATION,prob_RAIN_STORM,prob_TIDAL_WAVE,prob_WIND_STORM
ESSAMANG,2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.32,0.01,0.08,0.15,0.11
"OLD SUBRI,BAASE",2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.07,0.0,0.05,0.0,0.0,0.03,0.28,0.01,0.08,0.07,0.1
ATEIKU,2025,8,MAN_MADE,0.03,0.09,0.0,0.0,0.0,0.02,0.0,0.03,0.01,0.06,0.01,0.0,0.02,0.0,0.02,0.34,0.01,0.07,0.14,0.15
ATEIKU OSENSO,2025,8,MAN_MADE,0.07,0.1,0.0,0.0,0.0,0.02,0.0,0.03,0.03,0.07,0.0,0.01,0.01,0.0,0.01,0.21,0.01,0.11,0.16,0.16
"BLOCKSO,ASANKRANGWA",2025,8,MAN_MADE,0.09,0.13,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.01,0.0,0.01,0.23,0.01,0.12,0.16,0.13
ASIKAFO-ANBANTEM,2025,8,MAN_MADE,0.06,0.1,0.0,0.0,0.0,0.02,0.0,0.04,0.03,0.08,0.0,0.01,0.01,0.0,0.01,0.21,0.01,0.11,0.16,0.15
CANAAN,2025,8,MAN_MADE,0.09,0.12,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.25,0.01,0.12,0.17,0.12
WASSA DAMAN,2025,8,MAN_MADE,0.22,0.06,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.07,0.0,0.04,0.0,0.02,0.02,0.23,0.01,0.06,0.06,0.14
WASSA AKROPONG,2025,8,MAN_MADE,0.13,0.06,0.0,0.0,0.0,0.02,0.0,0.01,0.07,0.08,0.0,0.02,0.01,0.01,0.07,0.27,0.02,0.02,0.06,0.15
WASSA AFRANSIE,2025,8,MAN_MADE,0.14,0.06,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.07,0.0,0.03,0.0,0.02,0.07,0.3,0.01,0.02,0.1,0.11
WASSA SUHYENSU,2025,8,ACCIDENT,0.22,0.06,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.07,0.0,0.04,0.0,0.02,0.02,0.22,0.01,0.07,0.06,0.14
CINDY'S COTTAGE HOUSING AREA,2025,8,MAN_MADE,0.09,0.12,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.25,0.01,0.12,0.17,0.12
BANKYEASE,2025,8,MAN_MADE,0.06,0.13,0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.05,0.01,0.01,0.01,0.0,0.02,0.24,0.01,0.08,0.19,0.13
ANAJI,2025,8,TIDAL_WAVE,0.01,0.1,0.0,0.0,0.0,0.01,0.03,0.06,0.03,0.07,0.02,0.01,0.01,0.0,0.01,0.2,0.01,0.08,0.21,0.14
NEWSITE F-COMPOUND,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.05,0.0,0.04,0.0,0.0,0.04,0.3,0.01,0.09,0.08,0.09
ANTO,2025,8,WIND_STORM,0.03,0.1,0.0,0.0,0.0,0.01,0.03,0.07,0.04,0.08,0.0,0.01,0.01,0.0,0.01,0.15,0.01,0.12,0.15,0.18
SHAMA JUNCTION,2025,8,MAN_MADE,0.14,0.06,0.0,0.0,0.0,0.03,0.0,0.01,0.04,0.05,0.0,0.04,0.0,0.0,0.09,0.31,0.01,0.02,0.1,0.1
SHAMA ,2025,8,MAN_MADE,0.18,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.27,0.01,0.05,0.07,0.14
FAWOMANYE,2025,8,MAN_MADE,0.09,0.11,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.09,0.14,0.11
ITUMA,2025,8,MAN_MADE,0.11,0.09,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.1,0.12,0.11
MENZEZOR,2025,8,MAN_MADE,0.12,0.08,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.35,0.01,0.08,0.11,0.11
BASAKE,2025,8,MAN_MADE,0.09,0.13,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.04,0.0,0.01,0.01,0.0,0.01,0.22,0.01,0.13,0.16,0.13
"ANKOBRA,EIKWE",2025,8,WIND_STORM,0.03,0.1,0.0,0.0,0.0,0.01,0.03,0.07,0.05,0.07,0.0,0.01,0.01,0.0,0.01,0.15,0.01,0.12,0.15,0.18
KWASIKROM,2025,8,MAN_MADE,0.11,0.08,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.36,0.01,0.08,0.11,0.11
KWAMENAKROM,2025,8,MAN_MADE,0.11,0.08,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.36,0.01,0.08,0.11,0.11
NYAME NNAE,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.28,0.01,0.08,0.07,0.1
AZULETI,2025,8,MAN_MADE,0.08,0.11,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.01,0.0,0.01,0.22,0.01,0.12,0.16,0.14
"HALF ASSINI , ADUSUAZO",2025,8,MAN_MADE,0.1,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.1,0.12,0.11
HALF ASSINI ,2025,8,MAN_MADE,0.1,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.1,0.12,0.11
METIKA,2025,8,MAN_MADE,0.12,0.08,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.34,0.01,0.08,0.11,0.11
MPEASEM,2025,8,MAN_MADE,0.1,0.06,0.0,0.0,0.0,0.05,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.04,0.36,0.01,0.04,0.13,0.1
"NEW EDOBO,OLD EDOBO,HALF ASSINI,BENYIN",2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.03,0.0,0.0,0.01,0.3,0.01,0.1,0.08,0.11
TAKINTA,2025,8,MAN_MADE,0.18,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.27,0.01,0.06,0.07,0.13
BONYERE,2025,8,MAN_MADE,0.09,0.12,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.24,0.01,0.12,0.18,0.12
EZINLINBO,2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.32,0.01,0.08,0.15,0.11
half assini,2025,8,ACCIDENT,0.27,0.05,0.0,0.0,0.02,0.02,0.0,0.01,0.04,0.06,0.0,0.03,0.0,0.02,0.02,0.19,0.01,0.08,0.05,0.13
NTAMAKROM,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.28,0.01,0.08,0.07,0.1
YENSUADO(NAVAL QTRS),2025,8,ACCIDENT,0.23,0.06,0.0,0.0,0.01,0.02,0.0,0.01,0.04,0.06,0.0,0.03,0.0,0.02,0.02,0.21,0.01,0.09,0.05,0.14
NGIRESIA,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.05,0.0,0.05,0.0,0.0,0.04,0.29,0.01,0.09,0.08,0.09
TAKORADI AMANFUL,2025,8,MAN_MADE,0.18,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.06,0.0,0.05,0.0,0.0,0.04,0.26,0.01,0.06,0.07,0.13
essipong,2025,8,ACCIDENT,0.25,0.05,0.0,0.0,0.01,0.02,0.0,0.01,0.04,0.06,0.0,0.03,0.0,0.02,0.02,0.2,0.01,0.09,0.05,0.14
ketan,2025,8,ACCIDENT,0.27,0.05,0.0,0.0,0.03,0.02,0.0,0.01,0.04,0.06,0.0,0.03,0.0,0.02,0.01,0.19,0.01,0.08,0.05,0.13
bakodo,2025,8,ACCIDENT,0.23,0.05,0.0,0.0,0.01,0.02,0.0,0.01,0.04,0.07,0.0,0.03,0.0,0.02,0.02,0.21,0.01,0.09,0.05,0.14
kansawordo,2025,8,ACCIDENT,0.27,0.05,0.0,0.0,0.02,0.02,0.0,0.01,0.04,0.06,0.0,0.03,0.0,0.02,0.02,0.19,0.01,0.08,0.05,0.13
MPINTSIN,2025,8,MAN_MADE,0.11,0.06,0.0,0.0,0.0,0.05,0.0,0.01,0.03,0.05,0.0,0.01,0.0,0.0,0.04,0.36,0.01,0.05,0.12,0.1
YENSUADO,2025,8,ACCIDENT,0.23,0.06,0.0,0.0,0.01,0.02,0.0,0.01,0.04,0.06,0.0,0.03,0.0,0.02,0.02,0.21,0.01,0.09,0.05,0.14
BAKAKYIRE,2025,8,MAN_MADE,0.09,0.13,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.05,0.0,0.01,0.01,0.0,0.01,0.22,0.01,0.12,0.16,0.13
"EDELESUAZO,ANAGYE,EWUKU,EGUAFO,AGONA",2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.32,0.01,0.08,0.15,0.11
"ASEMASA,AKATENCHIE,ACHOWAI,TIGARI,AHUNTUMAN",2025,8,MAN_MADE,0.06,0.1,0.0,0.0,0.0,0.02,0.0,0.06,0.03,0.09,0.0,0.01,0.01,0.0,0.01,0.19,0.01,0.11,0.15,0.15
"Apowa, Beahu, New Amanful, Funko, Kejebil",2025,8,MAN_MADE,0.08,0.11,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.01,0.0,0.01,0.22,0.01,0.12,0.16,0.14
EWUSIEDJOE,2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.32,0.01,0.08,0.15,0.11
DAMTI,2025,8,MAN_MADE,0.09,0.11,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.06,0.0,0.01,0.0,0.0,0.01,0.26,0.01,0.11,0.16,0.13
ADAANSE,2025,8,WIND_STORM,0.02,0.1,0.0,0.0,0.0,0.01,0.02,0.06,0.05,0.12,0.01,0.01,0.02,0.0,0.01,0.14,0.01,0.11,0.15,0.16
"MPOHOYABEW,OBRAYEBONA,TREBUO",2025,8,MAN_MADE,0.15,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.33,0.01,0.09,0.1,0.11
OBRAYEBONA,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.28,0.01,0.08,0.07,0.1
ABUESI-BAKAEKYIR,2025,8,MAN_MADE,0.02,0.1,0.0,0.0,0.0,0.01,0.02,0.06,0.05,0.12,0.01,0.01,0.02,0.0,0.01,0.15,0.01,0.11,0.15,0.15
ABUESI COMPOUND,2025,8,MAN_MADE,0.02,0.1,0.0,0.0,0.0,0.01,0.02,0.06,0.05,0.12,0.01,0.01,0.01,0.0,0.01,0.16,0.01,0.11,0.15,0.15
ASEAMASA,2025,8,MAN_MADE,0.06,0.1,0.0,0.0,0.0,0.02,0.0,0.06,0.04,0.09,0.0,0.01,0.01,0.0,0.01,0.19,0.01,0.1,0.15,0.15
"INCHABAN,SHAMA JUNCTION,BEPOSO",2025,8,MAN_MADE,0.11,0.09,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.1,0.12,0.11
NEW JERUSALEM,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.03,0.0,0.0,0.01,0.3,0.01,0.1,0.08,0.11
ABEASE,2025,8,MAN_MADE,0.02,0.09,0.0,0.0,0.0,0.01,0.02,0.06,0.08,0.12,0.01,0.01,0.01,0.0,0.01,0.15,0.01,0.1,0.15,0.15
AIYINASI,2025,8,TIDAL_WAVE,0.0,0.1,0.0,0.0,0.0,0.01,0.03,0.06,0.03,0.11,0.02,0.01,0.03,0.0,0.01,0.19,0.01,0.07,0.2,0.12
ANWIA,2025,8,WIND_STORM,0.03,0.1,0.0,0.0,0.0,0.01,0.03,0.07,0.04,0.08,0.0,0.01,0.01,0.0,0.01,0.15,0.01,0.12,0.15,0.18
"ASEMKO,KRISAN,NKROFUL,DADWEN,ASOMASE,BASEKE,SANTASO,BONSUKROM,ASANTA",2025,8,MAN_MADE,0.06,0.1,0.0,0.0,0.0,0.02,0.0,0.04,0.03,0.09,0.0,0.01,0.01,0.0,0.01,0.2,0.01,0.11,0.16,0.15
EKWEI,2025,8,MAN_MADE,0.06,0.1,0.0,0.0,0.0,0.05,0.01,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.04,0.32,0.01,0.05,0.15,0.1
TANDAN,2025,8,MAN_MADE,0.19,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.06,0.0,0.04,0.0,0.02,0.04,0.26,0.01,0.05,0.06,0.13
ADUBRIM,2025,8,WIND_STORM,0.02,0.1,0.0,0.0,0.0,0.01,0.02,0.06,0.05,0.12,0.01,0.01,0.02,0.0,0.01,0.14,0.01,0.11,0.15,0.16
TARKWA NA ABOSO,2025,8,MAN_MADE,0.19,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.06,0.0,0.04,0.0,0.02,0.03,0.26,0.01,0.06,0.06,0.13
TARKWA BANSO,2025,8,MAN_MADE,0.19,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.06,0.0,0.04,0.0,0.02,0.04,0.26,0.01,0.05,0.06,0.13
TEBEREBE JUNCTION,2025,8,MAN_MADE,0.19,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.06,0.0,0.04,0.0,0.02,0.02,0.26,0.01,0.06,0.06,0.14
Benso-Ningo,2025,8,MAN_MADE,0.09,0.12,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.25,0.01,0.12,0.17,0.12
Benso-Newsite,2025,8,MAN_MADE,0.09,0.12,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.25,0.01,0.12,0.17,0.12
Nzemaline,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.28,0.01,0.08,0.07,0.1
BONDAYE,2025,8,MAN_MADE,0.09,0.14,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.24,0.01,0.12,0.16,0.12
SANKOFA,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.08,0.0,0.05,0.0,0.0,0.04,0.28,0.01,0.05,0.07,0.12
ATITSO,2025,8,MAN_MADE,0.07,0.1,0.0,0.0,0.0,0.02,0.0,0.02,0.03,0.07,0.0,0.01,0.01,0.0,0.01,0.21,0.01,0.12,0.16,0.16
APPEATSE,2025,8,MAN_MADE,0.04,0.1,0.0,0.0,0.0,0.01,0.03,0.06,0.04,0.08,0.0,0.01,0.01,0.0,0.01,0.17,0.01,0.11,0.15,0.17
KRUTOWN,2025,8,MAN_MADE,0.11,0.08,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.36,0.01,0.08,0.11,0.11
APPIATSE,2025,8,MAN_MADE,0.02,0.1,0.0,0.0,0.0,0.01,0.01,0.06,0.02,0.08,0.01,0.01,0.01,0.0,0.01,0.23,0.01,0.08,0.21,0.13
DAMANG,2025,8,MAN_MADE,0.09,0.12,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.06,0.0,0.01,0.0,0.0,0.01,0.25,0.01,0.11,0.16,0.13
ADJEIKROM,2025,8,WIND_STORM,0.02,0.1,0.0,0.0,0.0,0.01,0.02,0.06,0.05,0.12,0.01,0.01,0.02,0.0,0.01,0.14,0.01,0.11,0.15,0.16
FANTI MINES SHAFT,2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.32,0.01,0.08,0.15,0.11
WASSA MOSEASO,2025,8,MAN_MADE,0.22,0.06,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.07,0.0,0.04,0.0,0.02,0.02,0.23,0.01,0.06,0.06,0.14
"WASSA AKODAAKROM,AKROPONG, DAWURAMPONG,ADONNOE",2025,8,MAN_MADE,0.2,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.07,0.0,0.04,0.0,0.02,0.02,0.25,0.01,0.06,0.06,0.13
WASSA ANKYIASE,2025,8,MAN_MADE,0.21,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.07,0.0,0.04,0.0,0.02,0.02,0.24,0.01,0.06,0.06,0.13
WASSA BAWDIE,2025,8,MAN_MADE,0.21,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.07,0.0,0.04,0.0,0.02,0.02,0.23,0.01,0.06,0.06,0.14
WASSA ASUNDUA,2025,8,MAN_MADE,0.21,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.07,0.0,0.04,0.0,0.02,0.02,0.24,0.01,0.06,0.06,0.13
OPPONG VALLEY,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.07,0.0,0.05,0.0,0.0,0.03,0.28,0.01,0.08,0.07,0.1
WASSA MAMEISO,2025,8,MAN_MADE,0.22,0.06,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.07,0.0,0.04,0.0,0.02,0.02,0.23,0.01,0.06,0.06,0.14
PRESTEA NKWANTA,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.08,0.0,0.06,0.0,0.0,0.03,0.28,0.01,0.05,0.07,0.11
"SALAMI,EDUCATION,HOSPITAL RIDGE,DWENASE",2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.08,0.0,0.05,0.0,0.0,0.03,0.28,0.01,0.05,0.07,0.12
"LOW COST,IBS DOWN,MARTA,KWESI BUKRO",2025,8,MAN_MADE,0.12,0.08,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.35,0.01,0.07,0.11,0.12
"DABOASE,SEKYERE ABOADZERAM",2025,8,MAN_MADE,0.09,0.12,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.25,0.01,0.11,0.17,0.13
EDWENASE,2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.32,0.01,0.08,0.15,0.11
TORSEN,2025,8,MAN_MADE,0.19,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.06,0.0,0.04,0.0,0.02,0.02,0.25,0.01,0.06,0.06,0.15
SEKYERE ABOROADZEMU,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.05,0.0,0.0,0.05,0.27,0.01,0.05,0.07,0.13
"ATEIKU,AKUTUASE",2025,8,MAN_MADE,0.07,0.1,0.0,0.0,0.0,0.02,0.0,0.03,0.03,0.07,0.0,0.01,0.01,0.0,0.01,0.21,0.01,0.11,0.16,0.16
SKYEREHIMAN,2025,8,MAN_MADE,0.18,0.07,0.0,0.0,0.0,0.04,0.0,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.26,0.01,0.05,0.07,0.13
AIRPORT RIDGE,2025,8,WIND_STORM,0.02,0.1,0.0,0.0,0.0,0.01,0.03,0.06,0.05,0.11,0.01,0.01,0.01,0.0,0.01,0.15,0.01,0.11,0.15,0.16
TTI,2025,8,MAN_MADE,0.19,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.06,0.0,0.04,0.0,0.02,0.02,0.25,0.01,0.06,0.06,0.15
EAST TANOKROM,2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.32,0.01,0.1,0.15,0.11
MUNICIPALITY,2025,8,MAN_MADE,0.16,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.33,0.01,0.09,0.09,0.11
EFFIAKUMA ZONGO,2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.32,0.01,0.08,0.15,0.11
K.PROPER,2025,8,MAN_MADE,0.11,0.09,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.34,0.01,0.08,0.11,0.11
J COMPOUND,2025,8,MAN_MADE,0.11,0.09,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.1,0.12,0.11
NO.2 J2  COMPOUND,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.29,0.01,0.08,0.07,0.09
K PROPER,2025,8,MAN_MADE,0.11,0.09,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.34,0.01,0.08,0.11,0.11
QUEEN OF PEACE,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.08,0.0,0.06,0.0,0.0,0.03,0.28,0.01,0.05,0.07,0.11
APOLLO SANKOBA,2025,8,WIND_STORM,0.04,0.1,0.0,0.0,0.0,0.01,0.03,0.07,0.04,0.08,0.0,0.01,0.01,0.0,0.01,0.15,0.01,0.12,0.15,0.17
HEAVEN ON EARTH,2025,8,MAN_MADE,0.1,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.1,0.12,0.11
ABOI,2025,8,MAN_MADE,0.02,0.1,0.0,0.0,0.0,0.01,0.02,0.06,0.08,0.11,0.01,0.01,0.01,0.0,0.01,0.15,0.01,0.1,0.15,0.15
TANOKROM,2025,8,MAN_MADE,0.19,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.06,0.0,0.04,0.0,0.02,0.04,0.26,0.01,0.05,0.06,0.13
MBOFRADWEN,2025,8,MAN_MADE,0.12,0.08,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.35,0.01,0.08,0.11,0.11
"CANAAN,SAMREBOI",2025,8,MAN_MADE,0.09,0.12,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.25,0.01,0.12,0.17,0.12
DOMEAKROM,2025,8,MAN_MADE,0.09,0.11,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.06,0.0,0.01,0.0,0.0,0.01,0.26,0.01,0.11,0.16,0.13
FORDJOKROM,2025,8,MAN_MADE,0.09,0.11,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.1,0.14,0.1
PONTOSO,2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.08,0.0,0.06,0.0,0.0,0.03,0.28,0.01,0.06,0.07,0.1
AGYEZA,2025,8,WIND_STORM,0.02,0.1,0.0,0.0,0.0,0.01,0.02,0.06,0.05,0.11,0.01,0.01,0.02,0.0,0.01,0.15,0.01,0.11,0.15,0.16
ALLOWULE,2025,8,MAN_MADE,0.02,0.1,0.0,0.0,0.0,0.01,0.03,0.06,0.05,0.11,0.01,0.01,0.01,0.0,0.01,0.15,0.01,0.12,0.15,0.15
H/ASSINI,2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.1,0.14,0.11
"NEW NZULEZO,MPATADO",2025,8,MAN_MADE,0.17,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.05,0.0,0.03,0.0,0.0,0.04,0.3,0.01,0.09,0.08,0.1
"BEYIN,ELLOYIN,GHANA NUGUA,ALOMATOUPE,JAWAY WHARF,ELUBO,HALF ASSINI,ATWEBANSO,EDOBO,NEW TOWN WHARF",2025,8,MAN_MADE,0.09,0.13,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.01,0.0,0.01,0.23,0.01,0.12,0.16,0.13
"ELUBO,ANWIAFUTU,SOWODAZIM",2025,8,MAN_MADE,0.09,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.32,0.01,0.08,0.15,0.11
"HALF ASSINI,JAWAY WHARF,MPEASEM,SENTE",2025,8,MAN_MADE,0.1,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.07,0.0,0.01,0.0,0.0,0.01,0.31,0.01,0.1,0.12,0.11
SENTE,2025,8,MAN_MADE,0.18,0.07,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.27,0.01,0.06,0.07,0.13
BONYERE BANKYIN,2025,8,MAN_MADE,0.09,0.12,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.01,0.24,0.01,0.12,0.18,0.12
SOWUDADZIM,2025,8,MAN_MADE,0.18,0.07,0.0,0.0,0.0,0.03,0.0,0.01,0.03,0.06,0.0,0.05,0.0,0.0,0.04,0.26,0.01,0.06,0.07,0.13
BAWIA,2025,8,MAN_MADE,0.09,0.13,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.04,0.0,0.01,0.01,0.0,0.01,0.22,0.01,0.13,0.16,0.13
NVELLENU,2025,8,MAN_MADE,0.14,0.06,0.0,0.0,0.0,0.04,0.01,0.01,0.04,0.04,0.0,0.04,0.0,0.0,0.07,0.31,0.01,0.04,0.1,0.09
MBEM,2025,8,MAN_MADE,0.12,0.08,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.35,0.01,0.08,0.11,0.11
