location,most_likely_disaster
SEKYERE ABRODZERUM,MAN_MADE
SEKYEREKROBO,MAN_MADE
SEKYREADIEMBRA,MAN_MADE
SENTE,MAN_MADE
"SENTUM,GWIRA ESIAM,",MAN_MADE
SHAMA,MAN_MADE
SHAMA JUNCTION,MAN_MADE
SHAMA KUMASI,MAN_MADE
SIKA NTI,MAN_MADE
SIKANEASEM,MAN_MADE
SIMPA,MAN_MADE
SKYEREHIMAN,MAN_MADE
SOFO ZONGO,MAN_MADE
SOMPRE,MAN_MADE
SOUTH EFFIAKUMA ESTATE,MAN_MADE
SOWUDADZIM,MAN_MADE
SUBRI,MAN_MADE
"SUBRISO,AKOON NZEMAFOKROM,BANSO DOMEABRA",MAN_MADE
SUPOMU-DUNKWA,MAN_MADE
SUSUMENELEE,MAN_MADE
TAKINTA,MAN_MADE
TAKORADI,MAN_MADE
TAKORADI ADAKOPE,MAN_MADE
TAKORADI AMANFUL,MAN_MADE
TAKORADI MANKWADZI ROAD,MAN_MADE
TAKORADI MARKET,MAN_MADE
TAKORADI NO.1,MAN_MADE
TAKORADI ZENITH AREA,MAN_MADE
TANDAN,MAN_MADE
TANOKROM,MAN_MADE
TARKWA,MAN_MADE
TARKWA BANSO,MAN_MADE
TARKWA NA ABOSO,MAN_MADE
TEBAKROM,MAN_MADE
TEBEREBE JUNCTION,MAN_MADE
TEBEREBIE,MAN_MADE
TEBREBE,MAN_MADE
TORSEN,MAN_MADE
TTI,MAN_MADE
UPPER INCHABAN,MAN_MADE
WASSA AFRANSIE,MAN_MADE
WASSA AGONA,MAN_MADE
"WASSA AKODAAKROM,AKROPONG, DAWURAMPONG,ADONNOE",MAN_MADE
WASSA AKROPONG,MAN_MADE
"WASSA AKROPONG,ABROKYIRE KROBO,AFRANSIE",MAN_MADE
WASSA ANKYIASE,MAN_MADE
"WASSA ASIKUMA,WASSA ADANSE,GYEDUA,BAWDIE",MAN_MADE
WASSA ASUNDUA,MAN_MADE
WASSA BAWDIE,MAN_MADE
WASSA DAMAN,MAN_MADE
WASSA DUNKWA,WIND_STORM
WASSA MAMEISO,WIND_STORM
WASSA MOSEASO,WIND_STORM
WASSA SAA,WIND_STORM
WASSA SUHYENSU,WIND_STORM
"WEST FIJAI,KOJOKROM,ENOE",WIND_STORM
WHINDO,WIND_STORM
WHINDO NEWSITE,WIND_STORM
YAKASI,WIND_STORM
YEDIYESELE,WIND_STORM
YENSUADO,WIND_STORM
YENSUADO(NAVAL QTRS),WIND_STORM
ZONGO,WIND_STORM
