location,ACCIDENT,COLLAPSE,DROWN,EPIDEMIC,FLOOD,INDUSTRIAL FIRE,MAN MADE(BUILDING COLLAPSE),MAN_MADE,PEST_INFESTATION,RAIN_STORM,TIDAL_WAVE,WIND_STORM
"ASEMKO,KRISAN,NKROFUL,DADWEN,ASOMASE,BASEKE,SANTASO,BONSUKROM,ASANTA",5.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,53.333333333333336,0.0,3.3333333333333335,15.0,11.666666666666666
ASEMKOW,5.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,53.333333333333336,0.0,3.3333333333333335,15.0,11.666666666666666
ASIKAFO-ANBANTEM,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,15.0,11.666666666666666
ASSAKAE,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,15.0,11.666666666666666
ASSUAWUAH,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ASUOHYIAM,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,68.33333333333333,0.0,0.0,8.333333333333332,8.333333333333332
ATEIKU,5.0,0.0,0.0,10.0,0.0,0.0,0.0,65.0,0.0,0.0,3.3333333333333335,16.666666666666664
ATEIKU OSENSO,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
"ATEIKU,AKUTUASE",3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ATIEKU,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,68.33333333333333,0.0,0.0,8.333333333333332,8.333333333333332
ATITSO,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ATOBRAKROM,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,68.33333333333333,0.0,0.0,8.333333333333332,8.333333333333332
ATTAKROM,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ATWEBAN,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ATWEREBOANDA,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,13.333333333333334,13.333333333333334
AVREBO,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,13.333333333333334,13.333333333333334
