Date,Disaster_Type,Severity,Location
2021-04-10,PEST INFESTATION,1,"ASANTA,ASEMKO,OLD
BAKANTA,ESIAMA,EKWEI"
2021-06-11,DOMESTIC FIRE,1,ESIAMA
2021-02-16,RAINSTORM,1,APONTENKROM
2021-04-06,RAINSTORM,1,ANAKUM
2021-04-10,RAINSTORM,1,AGYADEN
2021-07-03,WINDSTORM,1,ESSAMANG
2021-10-03,WINDSTORM,1,"OLD SUBRI,BAASE"
2021-04-26,WINDSTORM,1,ATEIKU
2021-04-27,WINDSTORM,1,ATEIKU OSENSO
2021-01-09,FLOOD,1,ATEIKU
2021-04-26,WINDSTORM,1,"BLOCKSO,ASANKRANGWA"
2021-06-15,COMMERCIAL FIRE,1,ASIKAFO-ANBANTEM
2021-06-26,FLOOD,1,CANAAN
2021-03-24,DOMESTIC FIRE,1,WASSA DAMAN
2021-04-08,FLOOD,1,WASSA AKROPONG
2021-07-08,FLOOD,1,WASSA AFRANSIE
2021-11-30,RAINSTORM,1,WASSA SUHYENSU
2021-05-12,DOMESTIC FIRE,1,WASSA AKROPONG
2021-12-15,MAN MADE,1,WASSA AKROPONG
2021-02-25,FLOOD,1,CINDY'S COTTAGE HOUSING AREA
2021-04-10,DOMESTIC FIRE,1,ZONGO
2021-04-05,DOMESTIC FIRE,1,ZONGO
2021-04-07,DOMESTIC FIRE,1,NEWSITE
2021-01-07,RAINSTORM,1,BANKYEASE
2021-07-17,RAINSTORM,1,ANAJI
2021-06-09,DOMESTIC FIRE,1,NEWSITE F-COMPOUND
2024-02-26,DOMESTIC FIRE,1,ANTO
2024-04-17,DOMESTIC FIRE,1,SHAMA JUNCTION
2024-05-25,BUILDING COLLAPSE,1,SHAMA
2024-06-19,BUILDING COLLAPSE,1,FAWOMANYE
2024-04-17,RAINSTORM,1,MENZEZOR
2024-04-25,DOMESTIC FIRE,1,BASAKE
2024-11-05,DOMESTIC FIRE,1,AKROPONG
2024-05-22,RAINSTORM,2,"ANKOBRA,EIKWE"
2024-05-22,WINDSTORM,1,KWASIKROM
2024-06-19,DOMESTIC FIRE,1,KWAMENAKROM
2024-01-13,DOMESTIC FIRE,1,DOMPIM
2024-10-05,DOMESTIC FIRE,1,NYAME NNAE
2024-05-16,DOMESTIC FIRE,1,ASANKRANGWA
2024-06-18,DOMESTIC FIRE,1,BREMAN
2024-02-17,DOMESTIC FIRE,1,AZULETI
2024-07-03,RAINSTORM,1,"HALF ASSINI , ADUSUAZO"
2024-03-21,DOMESTIC FIRE,1,HALF ASSINI
2024-05-05,DOMESTIC FIRE,1,METIKA
2024-12-06,TIDAL WAVES,1,MPEASEM
2024-06-25,FLOOD,1,"NEW EDOBO,OLD EDOBO,HALF ASSINI,BENYIN"
2024-06-27,FLOOD,1,TAKINTA
2024-10-06,TIDAL WAVES,1,BONYERE
2024-04-06,TIDAL WAVES,1,EZINLINBO
2024-08-30,DOMESTIC FIRE,1,HALF ASSINI
2024-01-24,EPIDEMICS,1,ESHIEM
2024-02-02,EPIDEMICS,1,NTAMAKROM
2024-01-29,DOMESTIC FIRE,1,YENSUADO(NAVAL QTRS)
2024-03-04,COMMERCIAL FIRE,1,NGIRESIA
