Date,disaster_type,Incident_Count,Location,Severity_Index
2020-04-30 00:00:00,MAN-MADE,1,ABOSO,1
2020-05-11 00:00:00,RAINSTORM,1,EHYIRESO,1
2020-05-18 00:00:00,RAINSTORM,1,BEPOH,1
2020-05-25 00:00:00,MAN-MADE,1,"DAMANG,DUMASI",1
31/2/2020,DOMESTIC FIRE,1,ELLOWULE,1
20/2/2020,DOMESTIC FIRE,1,EHOAKA,1
22/3/2020,DOMESTIC FIRE,1,ELUBO,1
2020-03-10 00:00:00,FLOOD,1,ELUBO,1
14/3/2020,RAINSTORM,1,HALF ASSIN,1
2020-04-01 00:00:00,RAINSTORM,1,"ANLOMATOUPE,HALF ASSINI,TAKINTA,ATWEBA, EDOBO,ELENDA,EFFASU,ENZINYI TIANU,BOAKWA",1
25/4/2020,DOMESTIC FIRE,1,AMANZULE NORTH,1
2020-06-17 00:00:00,DOMESTIC FIRE,1,EKEGYINA,1
2020-06-30 00:00:00,FLOOD,1,"OLD EDOBO,NEWEDOBO,ATWEBANSO",1
2020-01-07 00:00:00,FLOOD,1,OLD EDOBO,1
2020-02-07 00:00:00,FLOOD,1,NEW EDOBO,1
2020-03-07 00:00:00,FLOOD,1,ATWEBAN,1
15/7/2020,DOMESTIC FIRE,1,ALEWULE,1
2020-01-08 00:00:00,DOMESTIC FIRE,1,KABSUAZO,1
2020-02-08 00:00:00,DOMESTIC FIRE,1,JAWAY,1
2020-06-08 00:00:00,DOMESTIC FIRE,1,J/WHARF,1
2020-11-10 00:00:00,DOMESTIC FIRE,1,ESIAMA,1
2020-04-24 00:00:00,WINDSTORM,1,"DOMINASE,KYEIKROM,ASUMAUM",1
2020-06-05 00:00:00,RAINSTORM,1,PENSAN,1
2020-06-14 00:00:00,FLOOD,1,MANSO AMENFI,1
2020-01-14 00:00:00,FLOOD,1,ADENTIEM,1
2020-04-11 00:00:00,DOMESTIC FIRE,1,KWESIMINTSIM,1
2020-04-14 00:00:00,DOMESTIC FIRE,1,SARBON ZONGO,1
2020-04-23 00:00:00,WINDSTORM,1,ZONGO,1
2020-06-05 00:00:00,DOMESTIC FIRE,1,APREMDO,1
24/8/2020,MAN MADE,1,EFFIA,1
2020-10-13 00:00:00,DOMESTIC FIRE,1,ABENBOBOM,1
