Date,disaster_type,Incident_Count,Location,Severity_Index
2019-11-28,RAINSTORM,1,NKETIESO,1
2019-08-03,WINDSTORM,1,KRAYAWKROM,1
2019-05-05,WINDSTORM,1,ESIAMA,1
2020-01-22,DOMESTIC FIRE,1,DIXCOVE,1
2020-03-12,WINDSTORM,1,KEJABIL,1
2020-03-01,DOMESTIC FIRE,1,DIXCOVE,1
2020-04-22,RAINSTORM,1,KEJABIL,1
2020-04-26,WINDSTORM,1,ACHOWA,1
2020-04-26,WINDSTORM,1,ABOADI,1
2020-04-27,DOMESTIC FIRE,1,ESIAMA,1
2020-05-13,DOMESTIC FIRE,1,BEAHU,1
2020-08-20,COMMERCIAL FIRE,1,AGONA NKWANTA MKT,1
2020-08-24,FLOOD,1,BUTRE,1
2020-08-28,MAN MADE,1,BUSUA JUNCTION,1
2020-09-22,DOMESTIC FIRE,1,ASEMASA,1
2020-03-14,DOMESTIC FIRE,1,ADUM DOMINASE,1
2020-04-06,FLOOD,1,BANSO,1
2020-04-06,WINDSTORM,1,AYIEM,1
2020-11-05,DOMESTIC FIRE,1,MPOHOR,1
2020-08-29,DOMESTIC FIRE,1,BANSO,1
2020-09-13,DOMESTIC FIRE,1,MPOHOR,1
2020-09-27,MAN MADE,1,BANSO,1
2020-06-02,DOMESTIC FIRE,1,ADA NKWANTA,1
2020-10-02,DOMESTIC FIRE,1,NEWTOWN,1
2020-02-16,DOMESTIC FIRE,1,OLD TOWN,1
2020-11-05,DOMESTIC FIRE,1,APEMANYIM,1
2020-11-06,MAN MADE,1,BEPOSO,1
2020-10-27,DOMESTIC FIRE,1,ABOADZE,1
2020-11-26,FLOOD,1,ABUESI,1
2020-12-13,DOMESTIC FIRE,1,SHAMA,1
2020-01-13,DOMESTIC FIRE,1,ESIAMA,1
2020-01-21,MAN MADE,1,OBENKROM,1
2020-01-02,DOMESTIC FIRE,1,SALMA,1
2020-11-02,BUSH FIRE,1,AKPANDUE,1
2020-02-13,DOMESTIC FIRE,1,NEW BANKATA,1
2020-06-03,DOMESTIC FIRE,1,ASEMKO,1
2020-04-14,DOMESTIC FIRE,1,AWIEBO,1
2020-05-05,DOMESTIC FIRE,1,ESIAMA,1
